"rotationAngles","rotationAnglesMag"
0.387120882351836,0.513143735590686
0.639136583841284,0.776859376372643
0.742601188093963,0.66255437909779
1.07775843316844,0.510525693493834
1.88086644784993,1.26077413998477
2.76019544932471,2.14039048674781
3.30406550033172,2.67495215688886
3.41490884699194,2.80997731681612
3.16071620496825,2.64970058096189
2.79201462082228,2.44415805846002
2.40965196081763,2.26654141094382
2.0659927991844,2.13502465290832
1.78356871138355,2.01078017863269
1.62176452829033,1.85309072252681
1.67300677156641,1.75100855267334
1.81523587429866,1.72620369652515
1.91471094897327,1.80459045323223
1.81057899182058,1.76323763939415
1.63832151369034,1.63097408636217
1.53106022139603,1.49732838725603
1.58604051104491,1.51168756364873
1.76127622253117,1.70466561652328
2.00933638517374,2.04011725226005
2.2572850766436,2.35860663181879
2.46479624232705,2.44395672822314
2.75083127272175,2.19397015560701
3.29557575352594,1.68898829015806
4.08646049630002,1.07110653234103
5.00369565346053,0.450674176672677
5.91101574053177,0.368252432650123
6.71644916102498,0.997594149804549
7.31336109554078,1.64822076388677
7.70909286881368,2.4009403506194
7.93926335897893,3.32593586318762
8.08818926351577,4.36544552277241
8.15795542914631,5.46369195982195
8.13038661965576,6.57789103878329
7.98383746617201,7.66999635995038
7.66843366383249,8.60145166817185
7.23494310335498,9.31295378683634
6.74747282520428,9.7612416344161
6.29068715568913,9.99053303106381
5.85516325359513,10.0194907326605
5.4149956434119,9.83846493765347
4.96100012258475,9.39995589020129
4.48259482225408,8.72113497819495
3.94389525970952,7.8536558360353
3.36416157062122,6.87193012516795
2.97342198174334,5.80425848322781
3.18672465126725,4.86038316008051
3.96283145889704,4.37921861523435
4.49649541916944,4.22787263254236
4.61022718073572,4.1053006518841
3.95936974088285,3.48725198186307
3.17173331045064,2.89296699629145
2.70007826735382,2.5497048668065
2.88127672975745,2.43072547860795
3.43345443793492,2.18955654464038
4.32987640777769,2.32927401338921
5.3396405570047,2.97803669980609
6.04044458034455,3.52636619490954
6.29289057383067,3.73402479245942
6.15965760282795,3.64480839508934
5.76001833037992,3.4143752449397
5.23027437395199,3.15807949999685
4.64347564229108,2.94333968971725
4.06010904201322,2.75776572456821
3.48339987981393,2.59772203459328
2.92371472024726,2.44815463431786
2.41457225109777,2.29726709979626
2.03222946633428,2.16204019258007
1.86066032133495,2.09196232356331
1.91643261189412,2.13892397847889
2.12460395077162,2.28219520315779
2.37093320793982,2.46644429825531
2.63033990836922,2.71938005961361
