"","x"
"1",-1.08302520913345
"2",-1.13245553596344
"3",-1.59753589647322
"4",-2.21223088438113
"5",-1.94916352083666
"6",-0.889824088162224
"7",0.321187010093143
"8",1.49070799259614
"9",1.64043536335773
"10",1.49782394835311
"11",0.61844544470045
"12",-0.319834792377714
"13",-0.543607042380732
"14",-0.247024400179786
"15",0.0986518451959112
"16",0.313484733935251
"17",0.460140354107434
"18",0.520567113065953
"19",0.499380344389359
"20",0.447250116658021
"21",0.425553481763904
"22",0.481220778483553
"23",0.596966176806158
"24",0.537950953360762
"25",0.088977057736435
"26",-0.582334149413618
"27",-1.24411227127339
"28",-1.72616669824773
"29",-1.27414890433823
"30",-0.720996300513059
"31",-0.100996672233168
"32",-0.0654132769428822
"33",0.0158918744273956
"34",-0.00142684355938234
"35",-0.12558983444011
"36",-0.266619404454316
"37",-0.125821323040372
"38",0.238159475170812
"39",0.554834610464358
"40",0.783170516825209
"41",0.952124241840187
"42",1.07782412127825
"43",0.797981740389759
"44",0.3689104029721
"45",-0.0455982890632646
"46",-0.0360140308522194
"47",0.115505181870287
"48",0.255281513640242
"49",0.34994011065659
"50",0.138540996796499
"51",-0.272662346838522
"52",-0.736378365227318
"53",-0.959136779158294
"54",-1.1130844318998
"55",-1.38650541917295
"56",-1.57559304606517
"57",-1.75366217189488
"58",-1.16227183098908
"59",-0.471967347351966
"60",0.404291578546594
"61",0.712727169878433
"62",1.4966508188197
"63",1.64586530601526
"64",1.53468241571806
"65",0.701622636583419
"66",-0.0308232285482712
"67",-0.372887222520362
"68",-0.178447972564111
"69",0.112891676432509
"70",0.360056689119426
"71",0.480872895896671
"72",0.544381475680539
"73",0.574330271341487
"74",0.472341678927126
"75",0.387286601297067
"76",0.318887448540539
"77",0.209460690813344
"78",-0.044496242192786
"79",-0.509268637103385
"80",-0.937866228062214
"81",-1.41138539323166
"82",-1.7156504752447
"83",-2.01256176022086
"84",-1.35616042551188
"85",-0.56210210733603
"86",0.525645459681939
"87",0.717391925062863
"88",0.731546103280156
"89",0.619515400183303
"90",0.367471996146958
"91",0.168949813801935
"92",0.145187225261702
"93",0.309421021405919
"94",0.487871861275564
"95",0.627773500260073
"96",0.667968725810102
"97",0.420801025125002
"98",0.135216546905986
"99",-0.081465711406765
"100",-0.0330766906126184
"101",0.107120116529165
"102",0.270345826265611
"103",0.0142707538005992
"104",-0.438901312592341
"105",-0.960387360498726
"106",-1.07618444447236
"107",-1.05533689213816
"108",-1.35496778913265
"109",-1.61630326232145
"110",-1.85012350788823
"111",-1.38411305961095
"112",-0.579030943367777
"113",0.129326605289759
"114",0.610899508721793
"115",0.794764925675288
"116",1.03297422603485
"117",1.19737805593718
"118",1.10458233757603
"119",0.844345513632642
"120",0.33932487873868
"121",-0.394334216516187
"122",-0.541305425972759
"123",-0.281909963434125
"124",0.355060175123907
"125",0.369395750557596
"126",0.128987751274645
"127",-0.0537923859062687
"128",-0.064381166765918
"129",0.0268125214276801
"130",0.39804127524159
"131",0.559717824691417
"132",0.387232619743247
"133",-0.498824584651639
"134",-1.9670811512486
"135",-3.46788094679677
"136",-2.98014684350869
"137",-0.980788761242104
"138",0.316043298981371
"139",0.615623944338435
"140",0.781809990903231
"141",0.849498318467315
"142",0.820632362870354
"143",0.527567258453424
"144",0.231014811817423
"145",0.0685847101421629
"146",0.0988812312232712
"147",0.214542686500493
"148",0.31820406834757
"149",0.42159587599726
"150",0.344144635486038
"151",0.0915164176746376
"152",-0.108682074533343
"153",-0.0702294082187119
"154",0.171370426738041
"155",0.394432308903856
"156",0.61116777883182
"157",0.760375009462677
"158",0.361443469862479
"159",-0.313981754971681
"160",-0.910690893831606
"161",-0.993042916420984
"162",-1.08493446163804
"163",-1.40707260775264
"164",-2.06206759953973
"165",-2.05652263296898
"166",-1.22807828612254
"167",0.0094609366821859
"168",0.689808962399036
"169",0.827140011973391
"170",0.939007483126041
"171",1.28044408157702
"172",0.946559865048285
"173",0.456903416267302
"174",-0.319279908874724
"175",-0.26556283493357
"176",-0.0531670716464505
"177",0.265447564051145
"178",0.310985214667225
"179",0.330334098522495
"180",0.28679509015916
"181",0.30458787322101
"182",0.348809717972952
"183",0.431183666755804
"184",0.496412805161059
"185",0.0369565378230753
"186",-0.471131930514737
"187",-1.17932225735214
"188",-1.8112761722014
"189",-2.35460944169032
"190",-1.98463240008124
"191",-0.984930707306683
"192",0.381907908840111
"193",0.984501741949455
"194",1.15550643308587
"195",0.677404188854841
"196",0.221070279345097
"197",-0.016101314378862
"198",0.0653318853586218
"199",0.179028692008102
"200",0.329157813341817
"201",0.461267672343413
"202",0.540256007842026
"203",0.509731861039676
"204",0.287983633908311
"205",0.0423800864046267
"206",-0.101025080233359
"207",-0.0172370101013781
"208",0.15030894830066
"209",0.355267798861933
"210",0.210885032483253
"211",-0.172695024692142
"212",-0.767508836327349
"213",-0.988305518652413
"214",-1.0139394097845
"215",-1.07661474565898
"216",-1.3332957379926
"217",-1.6985119555557
"218",-1.19323729188538
"219",-0.440505303889034
"220",0.498570487987201
"221",0.662607342490417
"222",0.739275661877064
"223",0.867627158130935
"224",1.03889969871444
"225",0.814878165278009
"226",0.420732750256102
"227",0.0178573328400234
"228",0.0394102974037459
"229",0.206298714800801
"230",0.282094010339579
"231",0.304056197815852
"232",0.316286544675124
"233",0.32806334510197
"234",0.32650351517839
"235",0.314368876810205
"236",0.373915689596886
"237",0.421587378950717
"238",0.301270189011079
"239",-0.0624562314902118
"240",-0.556653107507343
"241",-1.15837911689648
"242",-2.10194614455908
"243",-2.40879130502106
"244",-1.71931048282037
"245",-0.478318957260914
"246",0.514804553410385
"247",0.764021913511944
"248",0.851883379637417
"249",0.712977409566768
"250",0.438981370215285
"251",0.204032028690499
"252",0.101566590182762
"253",0.26500371549609
"254",0.470490321917388
"255",0.655216671391576
"256",0.767977058763763
"257",0.656318152621843
"258",0.319038170473441
"259",0.0178203521582913
"260",-0.0423374123925864
"261",0.176038021332995
"262",0.371975895497517
"263",0.265961419691893
"264",-0.116421954993625
"265",-0.510478458041936
"266",-0.767009953435305
"267",-0.834093646144005
"268",-0.953262351525862
"269",-1.22746785060833
"270",-1.82980658397802
"271",-1.72978841475177
"272",-1.06206769581665
"273",-0.0106315223477584
"274",0.342319487975554
"275",0.415168484222223
"276",0.611930223949177
"277",0.911060730931945
"278",1.12091254644273
"279",0.936319022843872
"280",0.513634245800945
"281",8.2448406267656e-05
"282",-0.257046051585461
"283",-0.244758437592545
"284",-0.0270822727089786
"285",0.201864616156112
"286",0.288354370737716
"287",0.310614040797623
"288",0.343577166413334
"289",0.389530195745564
"290",0.480718857961951
"291",0.20845658253719
"292",-0.255430456643025
"293",-0.891655113996577
"294",-1.62636693755344
"295",-2.41739306437597
"296",-1.98448790794595
"297",-1.04261894070976
"298",0.06481142337294
"299",0.242168234768889
"300",0.336216007536191
"301",0.110351621119935
"302",-0.14236924522487
"303",-0.236488294346752
"304",-0.0498561826310047
"305",0.195263707314664
"306",0.358066669165402
"307",0.648624630735888
"308",0.982017270656387
"309",1.38119728975511
"310",1.60806607984836
"311",1.17148707823748
"312",0.463227415460632
"313",-0.154948289817325
"314",-0.0672611812468616
"315",0.236935032203867
"316",0.429064602383024
"317",0.29826893429475
"318",-0.0514154233362772
"319",-0.437835173011312
"320",-0.716826839110778
"321",-0.928384657872538
"322",-1.1547995748568
"323",-1.42128540030856
"324",-2.07259604894236
"325",-2.02330208402022
"326",-1.35052916776168
"327",-0.127538946025937
"328",0.45934384456676
"329",0.501757266951763
"330",0.485002797353135
"331",0.482042194322241
"332",0.424766827461063
"333",0.388937544088281
"334",0.402514779114166
"335",0.311957594379341
"336",0.0558572102574515
"337",-0.129380738289439
"338",-0.0954034677531137
"339",-0.0658311341856482
"340",-0.0544696832951592
"341",-0.0209883444149959
"342",0.124565102291824
"343",0.3886008559883
"344",0.689087866247629
"345",0.552875793735763
"346",0.126289566030379
"347",-0.550786113924065
"348",-1.42581914904399
"349",-1.08479916606569
"350",-0.625348664641388
"351",0.19908882497814
"352",0.298390221531601
"353",0.29922513805732
"354",0.129536028757538
"355",-0.130278667372233
"356",-0.253603177361564
"357",-0.131868772969474
"358",0.0620428684621821
"359",0.276640016581369
"360",0.438283002712027
"361",0.69737218859585
"362",1.00233399249512
"363",1.28093011323734
"364",1.39580142732245
"365",0.991693444881099
"366",0.342560865359877
"367",0.0264405192806259
"368",0.0377630837344466
"369",0.214865523306344
