Acc0,Acc1,Acc2,Gyr0,Gyr1,Gyr2,Mag0,Mag1,Mag2,Timestamp,dt
-0.328125,0.890625,-0.09375,20.2484130859375,-79.742431640625,13.885498046875,12.02392578125,-1.3427734375,-18.73779296875,141506292250809,0.102364375
-0.328125,0.890625,-0.203125,-11.08551025390625,16.7694091796875,-10.2691650390625,12.176513671875,-1.77001953125,-20.3857421875,141506399667267,0.107416458
-0.4375,0.953125,-0.078125,-19.95849609375,29.84619140625,3.23486328125,12.542724609375,-2.25830078125,-20.3857421875,141506503355288,0.103688021
-0.265625,0.671875,-0.0625,-17.38739013671875,20.538330078125,7.74383544921875,12.359619140625,-2.227783203125,-20.233154296875,141506603953830,0.100598542
-0.1875,0.734375,-0.078125,-3.875732421875,9.84954833984375,7.232666015625,12.3291015625,-1.922607421875,-20.08056640625,141506704682632,0.100728802
-0.203125,1.078125,0.015625,12.664794921875,-7.10296630859375,-9.3536376953125,12.3291015625,-1.922607421875,-20.1416015625,141506805095236,0.100412604
-0.203125,1.328125,0.0625,3.6163330078125,0.14495849609375,4.00543212890625,12.39013671875,-1.922607421875,-21.331787109375,141506905835496,0.10074026
-0.359375,1.25,0.0625,3.6163330078125,0.14495849609375,4.00543212890625,12.3291015625,-2.044677734375,-20.599365234375,141507006721330,0.100885834
-0.21875,0.84375,0.03125,8.67462158203125,3.70025634765625,-11.10076904296875,12.3291015625,-1.739501953125,-20.3857421875,141507107596121,0.100874791
-0.171875,0.734375,0.015625,9.8724365234375,2.26593017578125,-1.62506103515625,12.054443359375,-1.953125,-19.95849609375,141507208492267,0.100896146
-0.125,0.765625,-0.03125,3.0364990234375,-3.19671630859375,5.37109375,11.90185546875,-1.52587890625,-20.263671875,141507311604871,0.103112604
-0.296875,1.109375,0.03125,-7.7056884765625,8.60595703125,13.25225830078125,11.993408203125,-1.678466796875,-20.01953125,141507413445965,0.101841094
-0.28125,0.796875,-0.09375,10.41412353515625,14.6484375,8.8958740234375,12.115478515625,-1.64794921875,-20.01953125,141507516508361,0.103062396
-0.3125,0.984375,-0.03125,-4.486083984375,1.7547607421875,-14.8162841796875,12.054443359375,-1.708984375,-19.317626953125,141507617427840,0.100919479
-0.171875,0.75,-0.0625,-8.3160400390625,-0.14495849609375,9.8419189453125,11.932373046875,-1.556396484375,-19.500732421875,141507718235652,0.100807812
-0.171875,0.75,-0.0625,1.33514404296875,11.1846923828125,13.1988525390625,12.26806640625,-1.739501953125,-19.775390625,141507818830756,0.100595104
-0.21875,1.03125,0.015625,4.82177734375,7.8887939453125,9.5672607421875,12.359619140625,-1.983642578125,-20.01953125,141507919729715,0.100898959
-0.25,1.28125,0.078125,5.6304931640625,7.4920654296875,5.126953125,12.6953125,-2.166748046875,-19.83642578125,141508020552319,0.100822604
-0.1875,0.859375,0.09375,3.62396240234375,9.918212890625,-13.397216796875,12.725830078125,-2.410888671875,-19.04296875,141508121171173,0.100618854
-0.15625,0.859375,0.03125,6.2408447265625,38.8641357421875,-1.64031982421875,12.51220703125,-1.983642578125,-19.378662109375,141508221985444,0.100814271
-0.15625,0.75,0.015625,-10.5743408203125,89.508056640625,-9.1094970703125,12.420654296875,-1.800537109375,-19.1650390625,141508322945912,0.100960468
-0.21875,0.765625,0.0,-26.00860595703125,109.2987060546875,12.20703125,12.237548828125,-1.861572265625,-17.578125,141508424705652,0.10175974
-0.25,1.171875,-0.015625,-16.693115234375,78.65142822265625,10.87188720703125,12.237548828125,-1.373291015625,-16.17431640625,141508525458881,0.100753229
-0.21875,1.0,-0.0625,-5.45501708984375,61.36322021484375,-11.77215576171875,12.0849609375,-1.77001953125,-14.7705078125,141508626811121,0.10135224
-0.140625,0.984375,-0.015625,-9.60540771484375,41.107177734375,2.6092529296875,12.3291015625,-1.983642578125,-13.153076171875,141508727636225,0.100825104
-0.125,0.6875,0.015625,-9.60540771484375,41.107177734375,2.6092529296875,11.993408203125,-2.410888671875,-12.8173828125,141508829405964,0.101769739
-0.046875,0.78125,-0.0625,2.9144287109375,13.092041015625,-0.37384033203125,12.115478515625,-2.532958984375,-11.8408203125,141508931361485,0.101955521
-0.15625,0.96875,0.0,5.2947998046875,-37.65106201171875,-11.3067626953125,12.39013671875,-2.655029296875,-11.932373046875,141509032558777,0.101197292
-0.078125,1.25,0.125,21.47674560546875,-72.7386474609375,4.58526611328125,12.63427734375,-2.777099609375,-12.51220703125,141509133965496,0.101406719
-0.25,1.15625,0.109375,26.7333984375,-85.02197265625,-10.6964111328125,12.5732421875,-2.62451171875,-12.939453125,141509234592266,0.10062677
-0.21875,0.703125,0.109375,26.81732177734375,-70.80841064453125,0.43487548828125,12.63427734375,-2.532958984375,-13.092041015625,141509335977423,0.101385157
-0.140625,0.90625,-0.015625,23.6053466796875,-67.90924072265625,14.6026611328125,12.14599609375,-1.8310546875,-14.58740234375,141509437494714,0.101517291
-0.234375,1.15625,-0.0625,9.77325439453125,-65.6585693359375,24.3682861328125,11.90185546875,-1.556396484375,-15.533447265625,141509538168152,0.100673438
-0.15625,0.796875,-0.125,24.6734619140625,-62.7899169921875,16.92962646484375,12.0849609375,-1.5869140625,-16.510009765625,141509638486849,0.100318697
-0.15625,1.078125,-0.078125,9.613037109375,-77.38494873046875,-12.2528076171875,12.51220703125,-2.105712890625,-17.76123046875,141509740720495,0.102233646
-0.140625,0.625,-0.03125,6.38580322265625,-87.646484375,22.003173828125,13.031005859375,-2.471923828125,-19.256591796875,141509841405131,0.100684636
-0.140625,0.625,-0.03125,18.79119873046875,-99.40338134765625,36.9873046875,13.18359375,-2.74658203125,-20.721435546875,141509942083620,0.100678489
-0.140625,0.8125,-0.140625,13.12255859375,-74.25689697265625,7.2479248046875,13.5498046875,-3.448486328125,-21.91162109375,141510043164401,0.101080781
-0.203125,1.609375,-0.078125,13.11492919921875,-35.24017333984375,-5.0201416015625,14.251708984375,-4.669189453125,-24.35302734375,141510144373985,0.101209584
-0.203125,1.609375,-0.015625,-10.0250244140625,18.08929443359375,-15.625,14.984130859375,-6.072998046875,-25.604248046875,141510246584766,0.102210781
-0.109375,0.859375,0.0,-13.36669921875,60.31036376953125,-30.1666259765625,15.411376953125,-6.9580078125,-27.923583984375,141510348560391,0.101975625
-0.109375,0.703125,0.03125,-2.227783203125,81.97021484375,-17.4407958984375,14.129638671875,-4.791259765625,-24.7802734375,141510449107162,0.100546771
-0.109375,0.703125,0.03125,-2.227783203125,81.97021484375,-17.4407958984375,14.129638671875,-4.791259765625,-24.7802734375,141510550371016,0.101263854
-0.234375,1.140625,0.03125,-17.7764892578125,59.44061279296875,17.0745849609375,13.031005859375,-3.265380859375,-22.5830078125,141510651059089,0.100688073
-0.109375,0.640625,-0.078125,-1.678466796875,44.04449462890625,0.54168701171875,13.031005859375,-3.265380859375,-22.5830078125,141510753568932,0.102509843
-0.28125,1.046875,0.0,-13.80157470703125,35.17913818359375,-17.76123046875,12.63427734375,-2.685546875,-20.751953125,141510854355391,0.100786459
-0.15625,0.671875,-0.015625,-7.2021484375,31.42547607421875,6.62994384765625,12.115478515625,-2.01416015625,-19.256591796875,141510954766224,0.100410833
-0.140625,0.765625,-0.0625,0.9613037109375,18.3563232421875,4.7454833984375,12.237548828125,-1.983642578125,-19.6533203125,141511055219818,0.100453594
-0.171875,1.21875,0.0,15.899658203125,-6.55364990234375,-2.66265869140625,12.237548828125,-1.983642578125,-19.6533203125,141511155791745,0.100571927
-0.421875,1.40625,0.015625,12.67242431640625,-18.69964599609375,8.453369140625,12.14599609375,-2.197265625,-18.24951171875,141511256441484,0.100649739
-0.265625,1.171875,0.046875,13.519287109375,-10.92529296875,-11.98577880859375,12.63427734375,-2.13623046875,-18.707275390625,141511357216276,0.100774792
-0.140625,0.765625,-0.03125,19.38629150390625,-5.1116943359375,-8.23974609375,12.664794921875,-2.471923828125,-19.6533203125,141511457986745,0.100770469
-0.140625,0.765625,-0.03125,19.38629150390625,-5.1116943359375,-8.23974609375,12.451171875,-2.38037109375,-18.402099609375,141511560497474,0.102510729
-0.15625,1.015625,-0.15625,6.62994384765625,-5.2642822265625,14.9078369140625,12.603759765625,-2.166748046875,-19.53125,141511661405599,0.100908125
-0.171875,1.125,-0.203125,15.40374755859375,-5.06591796875,-11.03973388671875,12.725830078125,-2.38037109375,-19.256591796875,141511762351588,0.100945989
-0.3125,0.84375,-0.171875,-1.27410888671875,3.9520263671875,-5.340576171875,12.847900390625,-2.471923828125,-19.744873046875,141511862855651,0.100504063
-0.21875,0.84375,-0.09375,-16.48712158203125,-1.617431640625,-8.15582275390625,12.542724609375,-2.349853515625,-19.439697265625,141511963360078,0.100504427
-0.125,0.65625,-0.0625,-4.638671875,1.40380859375,25.2838134765625,12.63427734375,-2.288818359375,-19.683837890625,141512063772526,0.100412448
-0.203125,0.828125,-0.140625,-0.701904296875,-0.03814697265625,8.697509765625,12.786865234375,-2.50244140625,-19.95849609375,141512164424817,0.100652291
-0.171875,1.234375,0.015625,0.8544921875,3.1280517578125,12.58087158203125,13.00048828125,-2.9296875,-19.71435546875,141512264728411,0.100303594
-0.171875,1.234375,0.015625,-4.7454833984375,-6.3629150390625,0.95367431640625,13.00048828125,-2.9296875,-19.71435546875,141512365251328,0.100522917
