"","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D"
"rotatedAcc",0.360194667767835,-0.0323615597680955,-0.222766947601055,-0.406422088450354,-1.47722374238725,0.890983300754975,0.177752155837788,-1.23279908890275,1.1578868557227,0.59622522580926,0.110587012274866,-0.785422126627062,-0.260154248226815,0.158518108465822,-0.195153813949693,-0.0528018371488249,-0.0133873549274233,-0.068283064598531
"rotatedAcc",0.249177475097636,-0.0238754045493879,-0.17042301536655,-0.335550152618358,-1.09959028880315,0.882046804264579,0.151085972092096,-1.00860806659374,0.929192859693409,0.448055849398416,0.12788361188014,-0.978143647520483,0.211354794691285,-0.254377131443921,0.477975611100911,-0.00435762259126003,-0.0167178869083317,-0.199508792951834
"rotatedAcc",0.305746939255431,-0.0483150272565804,-0.417641535037349,-0.230822769412589,-0.552678084418467,0.855280285061627,0.195739286202554,-0.606956887708114,0.223422559278786,0.109680058509037,0.0750684193572977,-0.618555132032989,-0.160669074104539,-0.473876491463255,1.33370033088634,0.0456574217642783,-0.0168185119073733,-0.293541539193047
"rotatedAcc",0.760907712400944,-0.110769521340569,-0.935533992887886,-0.132758144044216,-0.100392901167948,0.757225739347976,-0.0178733622392331,-0.020045278237054,0.0853346285503997,-0.380188955017264,0.00370586912061299,-0.142142344211821,-0.164264220563721,-0.226512893100237,0.707442998763932,0.100554613746167,-0.00438094870889201,-0.240939522946877
"rotatedAcc",1.28008308469212,-0.0938496733200274,-0.559696507368108,-0.0365808390916847,0.14692033923463,0.421627453507976,-0.292369817012432,0.725484083746979,-0.0799727487716449,-0.28967189850784,0.038702736960707,-0.419113398498064,-0.0646672992157635,0.522804696189945,-1.2779683182812,0.232249378039911,0.026092960450915,-0.106840722125989
"rotatedAcc",1.41507105840052,-0.0194977154861922,0.304986462531738,0.0619579242828554,0.269423626326726,-0.0818769676449838,-0.499574767755843,1.07450351044718,0.0947191115573718,0.121630884229272,0.123247508073122,-1.0324603520375,0.375814849516015,1.448155198129,-3.98365631262422,0.434825285665318,0.0673599792596943,0.0297883256637566
"rotatedAcc",0.480854259481478,0.113614683373053,1.42195388045498,0.0527880800620092,0.100741077667146,-0.226894195507523,-0.492046412385817,0.812711081083304,0.43739532278355,0.0822923442408121,0.225328475302438,-1.92814978683579,-0.0941407763689692,1.57298038448311,-3.92536517203816,0.483599461846083,0.0827399202823675,0.130285864950673
"rotatedAcc",-0.641845010423589,0.190056840619989,1.84849025136391,-0.00689753094230442,-0.0178739588803188,0.0239003792915849,-0.320037930902516,0.156434056809117,0.805930538314004,-1.00911109017296,0.17394670440408,-1.79892978986232,-0.586407187859634,1.45319152623583,-3.22709601795409,0.367683365210351,0.0653551381616318,0.129448845543022
"rotatedAcc",-1.46427405935248,0.214827125481469,1.81857280177938,-0.0113362551374511,0.24324375349128,0.371855922658474,-0.031711754034424,-0.598655195755985,0.940334356129005,-1.67098839375323,0.0970555218516695,-1.32440864439323,-1.89355201510682,1.09657785608872,-1.27494170706475,0.0772944084857947,0.0118525486267911,0.00378843055903645
"rotatedAcc",-0.486168461764301,0.152511422954864,1.49391174241711,0.140302942812107,0.617791321945481,-0.176034393386263,0.0768955655016477,-0.781821765612731,0.849086409013037,-1.47806959234831,0.0292703497374274,-0.681364456106795,-2.10386263633087,0.930870792562535,-0.685331558573964,-0.268224919603625,-0.0523880163680331,-0.152936971404083
"rotatedAcc",0.990881451247657,0.0670789385582803,1.0987088488322,0.35320283311974,0.906169749795626,-1.23497692801558,0.0904288899083785,-0.46984609644272,0.368637682739187,-0.982020742625608,-0.0359754643088116,0.0274177350559227,-2.26281494429284,0.898167409846448,-0.47506103237946,-0.566388824503789,-0.083526282317159,0.0135326692783369
"rotatedAcc",1.65490413307923,-3.51391860434948e-05,0.606296611814573,0.516881541759507,0.895682293755983,-2.33235740605617,0.000402009330687911,0.0957254990853859,-0.135406007315792,-1.01200587615645,-0.128000862679539,0.815933561720716,-0.630005132107865,0.486489352708553,-0.733575293621052,-0.853070133792294,-0.104463148504707,0.285375705934184
"rotatedAcc",0.855998130111256,0.00545743819844943,0.373641322461311,0.657262936997049,1.37314174337743,-2.68010554464647,-0.0308286043132668,0.273865563269511,-0.284959065831988,-0.826362073519303,-0.279847520153626,2.18507712429858,0.139184658288953,0.24013310988033,-0.722030950974424,-0.821809272727195,-0.0788133755157438,0.545886900357233
"rotatedAcc",-0.312115357982547,0.0328512611038235,0.245761747559446,0.594833565538136,1.81064097686616,-1.73271409033205,-0.0280712017677911,-0.226459636199031,0.407200517655919,0.169194209482961,-0.371883095872049,3.27050674191226,0.412000317130185,0.00190266754302459,-0.334264621350196,-0.781509611641123,-0.0727632583987288,0.546253437144524
"rotatedAcc",-1.06639420896313,0.0466860930749641,0.120931314708645,0.249583737459109,1.29161507421214,-0.0781510990243754,0.112177888591472,-0.68513707830595,0.600612198647181,1.25585196242016,-0.21800104698904,2.25197723720241,-0.495370520985118,0.350608501866685,-0.49563346141142,-0.517151541090131,-0.0473909316488557,0.370899268140998
"rotatedAcc",-1.14186673780307,0.0222052698234484,-0.175145046625534,-0.140398586043671,0.162565326157173,1.12864215598778,0.222837956197069,-0.363386102985691,-0.204636820190113,1.66353510403454,-0.0839458038164577,1.20868499251502,-0.72783759521794,0.391226831096579,-0.413065000765028,-0.346564703997645,-0.0328947470975206,0.234447364345016
"rotatedAcc",-0.818515394063532,-0.00448685183882275,-0.349258751826633,-0.388811870696843,-0.84884720845296,1.54086262207263,0.101896073164441,1.28207191318796,-2.12265629507767,0.924778180691731,0.0412303944700789,-0.0895078586977594,-0.793806928410991,0.255059402076251,-0.0139962454610926,-0.120979722030506,-0.0116864869647745,0.0793145424842746
"rotatedAcc",-0.146868462280998,-0.0210390338165523,-0.284513980729374,-0.458008060671271,-1.30203376166546,1.44652623452646,-0.17553316548709,2.59331542422265,-3.07117613900527,-0.240023989109619,-0.0842203992884047,0.660110747713369,-1.00510514793425,0.487489614898268,-0.436198422393995,0.0570159044155427,0.0107068088038809,0.027180113158971
"rotatedAcc",0.75513069099811,-0.0380592530219555,-0.140454489864766,-0.386945015058996,-1.2615593917752,1.02501570555723,-0.346432215515722,2.96380111624575,-3.04285064243323,-1.09231529365225,-0.144569992468194,0.936223857002501,-0.412212203266798,0.126368115550749,0.00819669132893019,0.278657759419948,0.0371772784350002,-0.0552948399743908
"rotatedAcc",1.4695504105652,-0.066400676342098,-0.189286928514595,-0.194231712403648,-0.656755153544709,0.485850558869164,0.0874632492130084,1.34421036080233,-2.16348731160405,-1.55603107775579,-0.253915047656211,1.74923981759639,0.122772813456447,-0.118368861391323,0.202887140023909,0.345186430979806,0.0397774059269925,-0.146425809887578
"rotatedAcc",1.86606072358508,-0.112284657291236,-0.54700088138046,0.0641043539986605,0.326654089830494,-0.0262832023063081,0.6296092606699,-0.675883047535769,-1.0697256017314,-1.47145718011687,-0.323458292679689,2.37615517967415,0.321956377356896,-0.2547091478947,0.390385698270636,0.317279427005093,0.033153848185793,-0.176902688546925
"rotatedAcc",1.79548777913017,-0.145294960125987,-0.934798516420058,0.255879972876588,1.10510360595341,-0.347401320610616,0.775225040028895,-1.81976781659238,0.0665211377392421,-0.812073243124088,-0.336967017624116,2.68402564057356,-0.564591317314169,0.389754954344229,-0.539849274348701,0.184975274121817,0.0181472771928314,-0.117806921403812
"rotatedAcc",1.22715339968644,-0.136783397627424,-1.04982684723735,0.257401413516567,1.13509345518144,-0.32089759727358,0.440741037075557,-1.12598010810876,0.165852257445951,0.1655130807072,-0.277712520319513,2.45366361620041,-0.960552014647849,0.614792676816832,-0.795598125099258,0.0817255813837087,0.00556382132662368,-0.0825214951085641
"rotatedAcc",0.320594837950285,-0.0855436009799799,-0.820373432981413,0.133288270779682,0.805378518948261,0.0992887199968713,0.0416240779147678,-0.063403961256172,-0.0444915722320348,1.00964497116471,-0.142058510844793,1.52284434521832,-0.644500413733213,0.406767662937834,-0.519225149309926,-0.0945972070836888,-0.0194792327084982,-0.0663934605948171
"rotatedAcc",-0.547945201422771,-0.0100060142503337,-0.310580941500338,-0.109012936477325,-0.00372336692406489,0.717811787297799,-0.242723670568027,0.688453567870212,-0.187110722215992,1.43878416150374,0.0297881825257778,0.158383691189221,0.0127725524710926,0.112167473491247,-0.295493638615073,-0.227481854209546,-0.0385911953034619,-0.057199094301097
"rotatedAcc",-0.921684722357839,0.0732417916220963,0.465138683290958,-0.196159688703159,-0.407270604716309,0.80297754848785,-0.360232913384769,0.636311606120701,0.262335020185237,0.943929928052505,0.0282565308312254,0.0284248391088489,0.192248632710964,0.0883313915864871,-0.37837489350504,-0.290162963185818,-0.0436801208363327,-0.00411015834921141
"rotatedAcc",-0.399090343078745,0.0844571189395572,0.77968504594947,-0.206643300873457,-0.684964340013635,0.533680649295046,-0.339091367194517,0.397500240737719,0.529209009594981,0.631049021099549,-0.0614936172110319,0.71535130451537,-0.306993062156597,0.620452847083506,-1.33256382045278,-0.218577331809784,-0.0350015346809633,-0.0291436907489453
"rotatedAcc",-0.378265420313084,0.0533145820440825,0.445871774978667,-0.0512949505021703,-0.269860191297789,0.0106881746257338,-0.160257309101977,-0.104793387936789,0.66013951848915,0.624970593537978,-0.211393316701746,2.01213806654955,-0.597387242225879,1.08926108946112,-2.29271457353257,0.000506774655129764,-0.00716693777769662,-0.0899348366911669
"rotatedAcc",-0.833195537949632,-0.000645749376607534,-0.312526488815125,0.000591396518787235,0.0872700642033185,0.102543864817814,0.0850675893056588,-0.766645048522823,0.801647114929247,1.05892960676707,-0.0787116805287223,0.988350165105567,0.00825095020992772,0.748672756227214,-1.91073325568943,0.293502652566357,0.0311207028786265,-0.158040607714071
"rotatedAcc",-1.3707618826638,-0.0132432847858042,-0.647716086641394,-0.13038963838909,-0.0607234311532665,0.789924922822075,0.258417481678558,-1.2116069605033,0.869817948311475,0.581089113745892,0.210491814908906,-1.65525497254053,0.657170682695095,0.170562985939268,-0.959258934423548,0.498790564110355,0.0638373276424205,-0.132616258740477
"rotatedAcc",-1.03394570995398,0.0360707016121903,0.0164393796450935,-0.000619488284754312,0.179296953100128,0.222833166139079,0.293848260589141,-1.19450943875788,0.732375591991473,-1.23355237904331,0.438385894340271,-4.15466542108422,0.904349008605305,-0.35306856348665,0.174880963954421,0.413463918266214,0.0408048582398935,-0.260329552551771
"rotatedAcc",-0.512561348348199,0.152926542685087,1.48878758940013,0.388820795687742,0.886380855791157,-1.49513365140018,0.191473079198357,-0.765558612115915,0.459300021794383,-1.88782544530223,0.463339737778717,-4.56020301325402,1.11859511479062,-0.315092373514712,-0.0930117322497057,0.174158167978941,0.0245121540334697,-0.0187048288481832
"rotatedAcc",-0.547657030113288,0.274327941076959,2.80696983763301,0.894990230270028,1.87330951355816,-3.64519584764187,0.106306666033503,-0.34464616973704,0.142365808769794,-1.53926835839761,0.211208109582502,-2.27516169304741,1.59869953646934,-0.622953028374371,0.306105444739312,0.043778799556843,0.00726134130319057,0.00895261582314317
"rotatedAcc",-1.37738742212975,0.343836641415983,3.26488893307932,0.938170982637678,1.70730489854509,-4.13383772424008,0.0326550495785513,-0.0374874342471992,-0.0520740158176549,-0.493322898713698,0.0629231910379751,-0.687872870477124,0.628928634402763,-0.715781732813986,1.31760654703372,0.0823811206187999,0.0425043439713591,0.374967565096295
"rotatedAcc",-1.81445173339163,0.269344602925878,2.28793002064279,0.485000248441657,0.225266312687468,-2.93895692557721,-0.0383489754720168,0.191552216039883,-0.145543795311084,0.941626473553215,0.0992537778448531,-0.5872744133177,-0.744126107111748,-0.837358976760368,2.72468120391998,0.351887752998479,0.0692215030353196,0.206761581854595
"rotatedAcc",-1.57776294240757,0.107271928859198,0.597730117421498,-0.00338303422689605,-1.12494488445936,-1.34992761509828,-0.0344181122537111,-0.00372274657715788,0.115459681232454,2.67826288581242,0.353619695176135,-2.28814684845917,-1.29004574603027,-0.763061114248428,2.97221994044944,0.43038383391265,0.0769067086149255,0.156573226446685
"rotatedAcc",-0.573471520092442,-0.0502090023034981,-0.760725440467865,-0.163990234358239,-1.20362420070091,-0.381676397949117,0.0617992424665705,-0.450621903934639,0.433406149087256,2.47464522766597,0.275446794361377,-1.66988696944731,-0.173066708490436,-0.805746863625443,2.18767530939815,0.548396428447239,0.0701380336809938,-0.146402060017939
"rotatedAcc",0.439959694827126,-0.153646629940141,-1.5232981494323,0.00453101870982837,-0.247639918837809,-0.332125263192454,0.151158028706022,-0.687110418186442,0.478520622166072,0.744050635701161,0.0890262274319334,-0.555860520996176,0.826240588361576,-0.587736578427266,0.834177191440688,0.416290026778852,0.0488518719946646,-0.165649316588161
"rotatedAcc",0.945222673413787,-0.176667252506692,-1.59046929136808,0.202582074501362,0.802711582335029,-0.363127271262683,0.164646210314814,-0.143754976389028,-0.325963287679057,-1.68897567541319,-0.196683210334735,1.2149752214075,1.2035030274179,-0.568772698452889,0.484295520905114,0.42100940249259,0.0541564258944941,-0.108535507649005
"rotatedAcc",1.26214583129971,-0.154411738691667,-1.23027635391795,0.229813491009945,1.3002492688698,0.0633858133315147,0.172195661239323,0.626759539695471,-1.42969126528492,-1.59434663754939,-0.22027790701527,1.4467593392581,0.997910657528967,-0.530731491203216,0.5519301391539,0.303016803070849,0.0450299231701508,-0.00297405439383122
"rotatedAcc",1.06990754658311,-0.119039034824377,-0.912922937912632,0.122555562376497,1.00959568734931,0.419535974555462,0.110027175069792,1.43243159290369,-2.35936561124638,-1.10585346704777,-0.103790029843063,0.579038176979104,0.899972121856202,-0.671631952331602,0.98859844618011,0.098577833226292,0.0149998307935033,0.00338645985576607
"rotatedAcc",0.861974231382159,-0.065627026230941,-0.403539841015367,-0.0623804768549888,0.189264362751083,0.644240360418824,-0.14134367743139,2.12042071437569,-2.51812802582142,-0.223633917465508,0.0431844957689642,-0.438824250230402,0.263871138965129,-0.676617653213378,1.50988976097476,-0.155866932485647,-0.0274963240140233,-0.0522829903139276
"rotatedAcc",0.363688430251557,-0.0338091089044656,-0.237357114570919,-0.277832785272295,-0.83819450281914,0.818475764051104,-0.580827813661887,2.60120515892257,-1.78404049057804,0.526211371688717,0.0827153999802857,-0.564241190382932,-0.108489233140171,-0.422657062645994,1.16170971843078,-0.374290271871462,-0.0684678927060346,-0.155844639159256
