"glass","top","lefthand","righthand","leftpants","rightpants"
-170.070989441542,-1.64244510969123,6.64673923687092,4.40192986626832,23.643959650402,-8.49885132231242
-15.183983772996,9.04256019147199,17.8939267263589,11.615086071747,22.4948579917932,-1.81066816208472
50.4574152254555,13.4912087992872,-26.7278823476197,48.687315948428,17.4406467956886,5.16981396076553
-11.3943493972107,-0.16179761383919,-13.4930722725678,14.5609468561149,6.37126888638001,-1.91456851735164
-8.59530511687748,7.38094713969405,-4.1930249034751,23.1276375260196,4.72461246220876,-2.33975581058925
5.78875447639586,10.944806160924,-26.4375541221775,34.9665974530427,0.492365200668069,8.13128105306596
-2.2510250638469,-3.36393157208252,-17.4290051123949,27.1743874914954,-22.5700750668359,14.0586079202144
5.91762134780325,6.32875479045956,21.765883820612,-31.9741762583547,-0.802075032894672,2.7786049885325
-0.906114971090866,3.11799981000386,-16.5666224343183,15.2714593316292,4.50631522798746,0.722719852395404
12.7424095604446,13.6904147108236,-24.6656067635825,45.9468090340771,-10.8490170105148,13.565677708753
6.30098384816704,11.1972292690741,-36.3929163682747,37.9865107888432,-9.28831842474891,6.25673054199521
-8.89686764080879,2.37508639457932,-25.6981358295688,20.8737146703871,-5.37592954118797,5.28087941375462
-26.970503807119,12.2396694814303,-23.5316865073092,-5.05688051728024,-7.65435227717887,-1.72116734856903
70.0753954785744,28.5918159629382,-43.5991049067594,30.940081722451,-9.42660986426221,8.59594877847053
1.58795310970427,31.4205748784004,-40.3048133871707,47.8138288286731,-6.86803983963825,0.53769380964127
10.8401651998475,15.7898915477678,-53.6404147117465,50.0755772521127,-13.4966417350699,9.04986352699744
6.98931399543191,18.0198544818859,-53.6693541991976,75.9973612554186,-23.8151488926656,11.3075811310947
16.0467269715443,13.4183835370637,-66.7474933781894,39.1342757424171,-7.99028303051076,10.2343254081031
70.2611790024677,18.2443840508599,-67.2087679364374,51.0603822030106,-8.22821367193441,-3.96322687418572
13.8749112452925,20.4450136021758,-124.472085262867,51.3995622412067,-10.8330054401149,11.7911902499619
-19.097619484443,22.8041736119055,1.91747175183129,16.4581195709372,3.39078680535898,8.15656203652142
-19.097619484443,22.8041736119055,1.91747175183129,16.4581195709372,3.39078680535898,8.15656203652142
42.2153074283991,15.7026157091971,-22.7919105679971,34.6427682723526,-3.90598418613278,6.90712401209669
14.8105145349814,10.7289688338555,-19.9949035264237,37.9372625282251,-6.09014150280969,-1.34552591168426
