"glass","top","lefthand","righthand","leftpants","rightpants"
-67.3464564329189,21.5416549935717,-6.59745632086861,-161.669451971653,3.01278649722099,23.9913893163297
-173.927722650474,8.8591069167906,-17.9224773675948,152.715622976715,11.7609656037581,-1.25758550512344
120.781518222768,-6.73255400281889,-1.3213085167759,-156.818187591597,10.6179104277151,14.0470923037946
93.3994421445714,-0.167145675367323,-16.1184448379366,-156.35580080416,0.721833457597891,26.4184481132499
167.702128672384,-8.3936182979847,-18.9404847141353,164.496023763488,24.0956659274491,21.5645544908562
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
62.5911493010481,-10.1201505813902,-19.3806308681724,-23.4813668295534,67.1982918356397,15.0912338298898
236.452795447075,-15.2445985858759,-16.1055105965399,-39.8704614718663,80.8695329737122,19.8314487357587
127.805291084336,-5.55281525951887,0.218521949652896,27.2817792354165,37.9552077020848,-31.1902661049014
253.322443009372,5.95184382709263,-9.03118679138009,-3.79052902313113,5.70197117151385,23.2888390092988
82.8695344719008,153.159501943265,127.363451569168,174.461062031188,207.897514615644,180.571233778587
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-144.717300618563,-3.37664806805394,-76.8807249818642,10.6790175454162,-2.94066487273834,-7.0926509355207
178.071248940136,12.8711781843133,29.230134200269,-10.2660463151732,51.1220685250485,9.22426244593564
-117.397954213201,-9.87575745116025,2.96320221203762,22.1461776639586,-5.79587345554294,-17.7376371738569
-156.748512927123,150.267787870124,-169.994561814302,183.519499517239,148.817686801119,-153.041304678608
-22.0293708851209,23.5030024637779,2.30411787492523,-29.1047208274846,23.524034597506,12.2895811400572
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
