"magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D"
-0.904143092658475,-0.389158673163864,2.82618878829514,-0.594196784657426,0.543615317663495,0.153938693401749,-0.558682028228885,-0.753214452090934,-0.0222129638611071,-1.41245353736255,-0.431004635881456,0.806215953538012,0.0494506954492957,0.0062532848481771,-2.90486281203105,-0.814973285767162,-0.794589121854257,0.111130816856419
-0.41129178505651,-0.285664738405141,2.73608496635073,-0.210005106673679,0.179061695783586,0.694899014144674,-0.364640019176066,-0.405649756910935,1.00628865242243,-0.967070349057275,-0.460556554436069,1.57894824229836,0.726034430727258,0.0353650119242676,-3.48729690887343,-0.207327650606665,-0.722397124768343,0.0626718397503784
0.389956090482825,-0.119533530838302,2.61794425271871,0.348077533244727,-0.332771078493835,0.611949157138518,-0.176904716845766,-0.144486274803467,1.10945706724361,-0.3784623560919,-0.40132843734723,1.99015875930056,1.98616412552382,0.0870936068897485,-2.8433561505588,0.417082133113017,-0.387111082894075,-0.00438869747538766
0.517993769300044,-0.0205020784736197,1.63130531320023,0.817419095725934,-0.762709255919081,0.517300951062883,-0.00443309503125308,-0.00921435291301708,-0.0386250239199782,0.241181260239795,-0.245167396130257,1.84080094341697,2.49063135815542,0.105649503891943,-1.09210424349491,0.597209419667881,0.00145066350416917,-0.0430311193221073
0.125873389820053,-0.0270942411864796,0.69163790465043,0.952007062152739,-0.89140463203777,0.755183243112227,-0.00128235810087349,-0.073839219298674,-0.856396092937181,0.465327560271014,-0.097778512049028,1.22258370349491,2.03097728155769,0.0844583072234351,0.284212666206881,0.427706731636294,0.310867250319475,-0.0513043354622911
-0.0671176946768177,0.0483305710435945,-0.821182894072258,0.591940326435209,-0.572367833936709,1.35721939040936,-0.223669757060637,-0.368957163679613,-0.809370098330263,0.420894459815268,-0.0806549506516832,1.05751090590107,1.64636381327046,0.0679595006558177,0.58050383522256,0.123255715706209,0.46609570801109,-0.0396804614447342
-0.0681914092222983,0.0975572919735103,-1.48124041398963,0.172225766160007,-0.189370500700414,1.51441855731903,-0.662499489173423,-0.891556607743677,-0.00704989847474547,-0.427997761433171,-0.315263121313549,1.39043416193939,1.53930894717109,0.0635548206199938,0.532773539381474,-0.173507052894403,0.525863931732196,-0.0222972863392508
0.0511989193468974,0.108211719938754,-1.31058945958988,0.173538706846635,-0.183139839542567,1.14978678548064,-1.01776481242495,-1.33576841628336,0.391574870421878,-1.00214547151192,-0.587053338453556,2.31766562514874,0.573409976850233,0.0230192678510399,0.653332622711976,-0.0409421672134099,0.391925318597292,-0.02297147412679
-0.195901603331016,0.0105818369829572,-0.654707109381048,0.421540662569183,-0.409021560895782,1.03608419268713,-1.13700953191154,-1.50092123607843,0.334733285490349,-1.58938984248724,-0.67771166794132,2.10333722873962,-1.25702589858547,-0.0545648475357995,1.41382918656581,0.251158900348006,0.199894584155989,-0.031274028499096
-0.516254170801476,-0.119344791922853,0.240399287005763,0.294862471293824,-0.292877136573706,1.05665746062718,-1.10172031254679,-1.4639869902455,0.209749913229789,-1.00906997909402,-0.106471831622218,-0.674320816940872,-2.28959851120614,-0.0997532778692792,2.82957172639888,0.365037364341717,0.0765158316964898,-0.0313030330149904
