Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,Timestamp,dt
-7.7838592529296875,-7.47637939453125,2.3150634765625,-0.27980719038284896,-0.02189967210851318,1.0749155032937456,-7.5040520625468385,-7.454479722422737,1.2401479732687544,-0.9005584716796875,-0.689056396484375,-1.4888458251953125,7.97882080078125,45.65887451171875,-15.23895263671875,-0.3696323883890217,-0.9171308514351635,0.44599210454345783,1.110952293597547,1454052990670220718,0.020111084
-7.3280181884765625,-7.9621124267578125,2.2181396484375,0.09887994112372667,-0.34000700108694915,0.6722379142954973,-7.426898129600289,-7.622105425670863,1.5459017341420027,-0.4677734375,-0.571014404296875,-1.602142333984375,6.59942626953125,45.95947265625,-14.6392822265625,1.0354299851962485,-0.21928613133812452,0.33765854355698843,0.7597932725163685,1454052990710534439,0.020172119
-7.1222381591796875,-7.537384033203125,2.4538421630859375,0.2437279763364817,0.0677771139741914,0.7263523431551477,-7.365966135516169,-7.605161147177316,1.7274898199307898,-0.327117919921875,-0.5105438232421875,-1.71240234375,4.85992431640625,46.37908935546875,-14.39971923828125,0.5102542427847437,-0.4943518126263771,0.26933739386228156,0.7691454934111756,1454052990730645523,0.020111084
-6.8350982666015625,-7.59002685546875,2.042266845703125,0.4246942951316859,0.012107433366853826,0.2518216206178683,-7.259792561733248,-7.602134288835604,1.7904452250852567,-0.0383453369140625,-0.4031829833984375,-1.6505584716796875,1.9195556640625,46.258544921875,-13.43994140625,0.6926743920887929,-0.31952652359987443,-0.09843649499020805,0.4938886138298208,1454052990750787125,0.020141602
-6.60418701171875,-7.864013671875,1.7730865478515625,0.5244844400115989,-0.20950350643151694,-0.013886941786955376,-7.128671451730349,-7.654510165443483,1.7869734896385179,0.18719482421875,-0.3896026611328125,-1.6154327392578125,0.41961669921875,46.1395263671875,-13.13934326171875,0.2201485081636722,-0.36080991815151486,-0.25549321144466125,0.5649499926308306,1454052990770928726,0.020141601
-6.2428741455078125,-7.648651123046875,1.519439697265625,0.7086378449780293,0.004687233917286093,-0.21402703389831434,-6.951511990485842,-7.653338356964161,1.7334667311639393,0.2482757568359375,-0.530242919921875,-1.707366943359375,-1.31988525390625,46.1395263671875,-13.018798828125,-0.09875452432220955,-0.5176679350773942,-0.2035581835398515,0.7402682869988496,1454052990791070328,0.020141602
-6.275177001953125,-7.34716796875,1.1772613525390625,0.06722939266093864,0.16053645080081314,-0.4622092352886713,-6.799437644614064,-7.551970166621126,1.5066733466167963,0.177276611328125,-0.7423553466796875,-1.7592926025390625,-3.05938720703125,46.01898193359375,-12.77923583984375,-0.24494688205477436,-0.4787644886392852,-0.5087068675242381,0.4938918104802092,1454052990831353531,0.020111084
-7.348358154296875,-7.71685791015625,1.0181427001953125,-0.4391364077462496,-0.13191019482809985,-0.39082451713718713,-6.909221746550625,-7.58494771532815,1.4089672173324996,0.0244140625,-0.87506103515625,-1.7646331787109375,-4.79888916015625,46.01898193359375,-12.5396728515625,-0.4077942061367907,0.15682564138792537,-0.230301298313425,0.6024822713602311,1454052990851495132,0.020141601
-7.611572265625,-7.3411865234375,1.161712646484375,-0.5618804152595,0.19500895351252012,-0.19780365667849975,-7.0496918503655,-7.53619547695002,1.3595163031628748,-0.1826629638671875,-0.9405670166015625,-1.780364990234375,-6.658935546875,45.89996337890625,-12.4786376953125,-0.3739861478002559,0.331584954853003,0.3364084688770653,0.6267889434232405,1454052990871636734,0.020141602
-8.063812255859375,-6.8518524169921875,1.5218353271484375,-0.8112963243950997,0.5474744479662661,0.1298552191884501,-7.252515931464275,-7.399326864958454,1.3919801079599874,-0.2639007568359375,-0.98516845703125,-1.7576141357421875,-10.198974609375,45.2392578125,-12.23907470703125,-0.09669979782660579,0.5813084310666345,0.21352756976418413,0.9873157423557304,1454052990891778335,0.020141601
-8.647659301757813,-6.63409423828125,1.694122314453125,-1.1161146962348294,0.6121861013417629,0.24171376519451004,-7.531544605522983,-7.246280339623013,1.452408549258615,-0.3752288818359375,-0.9544677734375,-1.5830535888671875,-11.9384765625,44.879150390625,-12.05902099609375,0.3142184599871832,0.915943737204096,0.19262946773345216,1.2957273563955882,1454052990911950455,0.02017212
-9.39422607421875,-6.2823486328125,1.847259521484375,-1.4901451749566128,0.7711453654484108,0.3158807777806081,-7.904080899262137,-7.053493998260911,1.531378743703767,-0.3324737548828125,-0.8231353759765625,-1.3043670654296875,-13.739013671875,44.57855224609375,-11.87896728515625,0.4413733960048164,1.1473463709955434,0.409506336863222,1.7073308065135824,1454052990932092056,0.020141601
-9.824935913085938,-6.07537841796875,1.7048797607421875,-1.536684011059041,0.7824924642337283,0.13880081363073637,-8.288251902026897,-6.857870882202478,1.5660789471114511,-0.20068359375,-0.6725616455078125,-1.0589599609375,-15.59906005859375,43.85986328125,-11.57989501953125,0.5467192090086718,1.4865353239236048,0.6374082186345742,1.7300167260149915,1454052990952203140,0.020111084
-10.547561645507813,-5.806182861328125,1.648651123046875,-1.807447794784732,0.8413504166994832,0.06605774074833914,-8.74011385072308,-6.647533278027608,1.5825933822985359,-0.1070709228515625,-0.5193939208984375,-0.79400634765625,-16.97998046875,43.2586669921875,-11.0992431640625,0.3016683418099024,1.7391576529252248,0.929208805551558,2.1073565804338754,1454052990992486343,0.020141601
-11.150558471679688,-5.66021728515625,0.7465667724609375,-1.5419203972559785,0.6276708096564194,-0.6240682607648131,-9.608638074423709,-6.287888094812669,1.3706350332257506,-0.0617218017578125,-0.5229034423828125,-0.4333038330078125,-18.23883056640625,42.8985595703125,-10.97869873046875,0.0016762390229458357,1.8101097624265274,1.0790975228231052,1.7779061704327364,1454052991012658462,0.020172119
-11.136199951171875,-5.676971435546875,1.1593170166015625,-1.2220495013985335,0.48873332741263553,-0.16905441329935056,-9.914150449773341,-6.1657047629595105,1.328371429900913,-0.3297271728515625,-0.4337310791015625,0.1869964599609375,-18.95904541015625,42.65899658203125,-10.61859130859375,-0.42572540391443753,1.4933036790713552,0.8658821897181348,1.3269682150858846,1454052991032769546,0.020111084
-11.438888549804688,-5.865997314453125,2.1678924560546875,-1.2197904800250772,0.23976595880510843,0.6716168209230196,-10.21909806977961,-6.105763273258233,1.496275635131668,-0.4848785400390625,-0.26513671875,0.280609130859375,-20.159912109375,42.41943359375,-10.43853759765625,-0.03014017251263454,1.0904702807751794,0.7555201086947002,1.4129563632003235,1454052991052941666,0.02017212
-11.432907104492188,-5.40777587890625,2.5950164794921875,-0.971047227770061,0.5583899154815866,0.8789926754884156,-10.461859876722126,-5.966165794387837,1.7160238040037719,-0.4089813232421875,0.0233306884765625,0.464324951171875,-20.57952880859375,42.35992431640625,-10.13946533203125,0.7100000370748369,0.7006929088865466,1.0006873871176631,1.423853974195998,1454052991073052750,0.020111084
-10.905288696289063,-5.0416717529296875,1.8077850341796875,-0.35474305565355024,0.7395952331665185,0.07340898414073238,-10.550545640635512,-5.781266986096206,1.7343760500389551,0.0396881103515625,0.1772613525390625,0.8364715576171875,-20.93963623046875,42.35992431640625,-9.11865234375,0.9676116940168564,0.7883849492869138,0.6852278447026834,0.8235487984385802,1454052991093194351,0.020141601
-10.158721923828125,-4.937591552734375,0.963104248046875,0.3134589734459112,0.674940346689465,-0.617017441593664,-10.472180897274036,-5.61253189942384,1.580121689640539,0.370147705078125,0.2931671142578125,1.1849517822265625,-20.39947509765625,42.83905029296875,-8.87908935546875,0.2267769011237153,0.7910061340369553,-0.033380870216410605,0.9667013617730401,1454052991113335953,0.020141602
-9.873977661132813,-5.19482421875,0.6293182373046875,0.478562588912979,0.334166144539072,-0.7606427618686813,-10.352540250045791,-5.528990363289072,1.3899609991733688,0.400238037109375,0.5489654541015625,1.4405975341796875,-19.85931396484375,43.3197021484375,-9.05914306640625,-0.44588361034557755,0.5339591898117366,-0.6712577403503102,0.9587839041444199,1454052991133477554,0.020141601
