Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,Timestamp,dt
-5.9461669921875,-6.8650054931640625,0.9882354736328125,0.749307341595026,0.06070299587127792,0.32243667655335817,-6.695474333782526,-6.92570848903534,0.6657987970794543,-0.7288055419921875,-0.7598724365234375,-0.20074462890625,2.2186279296875,45.65887451171875,-16.3787841796875,-0.45709758238278403,0.01253084913988553,0.5159446858549299,0.8179925160187765,1456909845029055980,0.020172119
-6.3493499755859375,-7.998016357421875,0.5898284912109375,0.15777447205831763,-0.7840968599861329,-0.07676064419335071,-6.507124447644255,-7.213919497435742,0.6665891354042882,-0.4198760986328125,-0.8444671630859375,-0.3262786865234375,2.03857421875,45.65887451171875,-16.4398193359375,-0.4583605015744764,0.05846304242379946,0.6749810611922159,0.8034879379121831,1456909845069308665,0.020080566
-6.561126708984375,-8.0506591796875,0.3948211669921875,-0.043201809072095365,-0.6693917458014065,-0.21741437472968062,-6.51792489991228,-7.3812674338860935,0.6122355417218681,-0.3403167724609375,-0.7641448974609375,-0.4186553955078125,1.5594482421875,45.65887451171875,-16.31927490234375,0.5472534367283817,-0.34605534315401587,0.4757648510135872,0.7051387920071158,1456909845089450267,0.020141602
-6.445068359375,-7.525421142578125,0.370880126953125,0.05828523242982353,-0.11532296695362554,-0.19308433181499451,-6.5033535918048235,-7.4100981756244995,0.5639644587681195,-0.2285308837890625,-0.770416259765625,-0.4534759521484375,1.67999267578125,45.71990966796875,-15.899658203125,0.6195908636490687,-0.23665561949498898,0.23941999920524823,0.2323319052967725,1456909845109622386,0.020172119
-6.1196441650390625,-6.8422698974609375,0.4594268798828125,0.3069675414126083,0.4542626225308499,-0.08363006310824561,-6.426611706451671,-7.296532519991787,0.5430569429910581,-0.213409423828125,-0.8403472900390625,-0.4693603515625,1.07879638671875,45.83892822265625,-15.179443359375,0.19024395473560793,0.09729647617418674,0.09120719611198695,0.5545967807019763,1456909845129733470,0.020111084
-5.8085784912109375,-6.5300140380859375,0.60418701171875,0.49442657219258734,0.6132147855246792,0.048904054982153555,-6.303005063403525,-7.143228823610617,0.5552829567365964,-0.244720458984375,-0.8980712890625,-0.49639892578125,0.53863525390625,45.83892822265625,-14.87884521484375,-0.34657481839421844,0.4235557138279941,0.08980012484469599,0.7892284935745083,1456909845149905589,0.020141602
-5.9318084716796875,-6.692718505859375,0.9008941650390625,0.18894277182825636,0.24583148617329442,0.23995093893857833,-6.120751243507944,-6.938549992032669,0.6609432261004842,-0.211883544921875,-0.6544952392578125,-0.654296875,-0.17852783203125,45.47882080078125,-14.57977294921875,-0.6623808762366529,0.36421407851770127,0.2860935908070938,0.3920573219796061,1456909845190188792,0.020141601
-6.4510498046875,-6.768096923828125,1.1629180908203125,-0.2642388489436449,0.13636245456363572,0.4015798917758626,-6.186810955743855,-6.904459378391761,0.7613381990444499,-0.1037750244140625,-0.3700103759765625,-0.7169036865234375,-0.95977783203125,45.53985595703125,-14.15863037109375,-0.37822973246529246,0.022460890057035332,0.1007309485374721,0.49968319742052114,1456909845210330394,0.020141602
-6.8578338623046875,-6.6185455322265625,1.0241241455078125,-0.5368183252486656,0.22873107693215822,0.21022875717069,-6.321015537056022,-6.847276609158721,0.8138953883371225,0.10498046875,-0.161407470703125,-0.7094268798828125,-1.49993896484375,45.83892822265625,-13.79852294921875,-0.31091755297893325,-0.29122461504591424,-0.2611547428397031,0.6202321744466824,1456909845230471996,0.020141602
-6.949951171875,-6.3589324951171875,0.5120697021484375,-0.5031485078551823,0.39067529123322675,-0.24146054895094793,-6.446802664019818,-6.749607786350414,0.7535302510993854,0.300445556640625,-0.1433868408203125,-0.685455322265625,-2.15911865234375,46.0784912109375,-13.1988525390625,-0.20904699072211547,-0.1609416943897225,-0.5613244226575974,0.6812406335772669,1456909845250613597,0.020141601
