"glass","top","lefthand","righthand","leftpants","rightpants"
109.869337145026,-174.939750590631,166.636067112211,12.170508156528,-169.77883910299,-168.782478466521
-25.9984368240979,-174.945069275367,169.922842219245,-19.1192030477336,174.891119222677,-172.989350086753
-94.7541245582913,175.688050679921,168.522542155598,11.1951553836761,-170.976584950853,-168.853453455851
-61.814812711899,173.122386738254,161.366225257102,14.9626844758287,159.475318731898,-164.56369942276
-58.1498754637656,169.810583188711,157.581884925065,-16.2887393021445,-178.893201957044,-160.545262678203
-58.4332014732895,-174.328109587408,162.573998680484,-178.80991086725,179.357936260516,-178.129892442172
-81.4690249117216,167.19478771841,172.648562068487,175.957278268302,172.164966774604,-178.469297861637
128.453691584137,-178.259932630773,-176.142339086971,174.946107591699,177.034720912101,178.802652372259
103.811282264015,81.2151147172728,75.2910939397598,68.0656834077938,149.117791337182,110.18871135531
-177.520562598604,71.9453100804417,84.011200962457,72.1719625437608,150.930007999588,112.670957229572
-158.251490699922,86.7982705453255,86.8440391966459,83.0858860918692,125.993475518566,92.3220742762721
45.4911898931897,93.1994291776458,79.781698237698,81.9170386783582,99.9805553347341,106.814221034647
66.2620565606942,82.6468709981608,74.8083171649717,88.8436177823222,129.724607464317,98.1002938688516
105.661958818278,88.8026483084331,77.8124336405606,88.8845542802678,114.014139067226,116.358641527664
169.014009676592,85.3455984364419,75.521802118413,83.3273837985942,119.734668487894,112.392829962785
150.067840773221,96.2987167601093,78.9880837038302,71.8533306601897,137.314107737465,105.055749713989
10.9130697189356,168.863441329904,161.765208774069,178.649217790964,167.627160263436,160.706447499586
5.24096281132418,165.885470222324,-173.047243807071,172.115221372235,-162.151416522175,169.4131345117
-2.13169718717207,171.062014533912,170.176002571294,164.290487716228,-174.051240873001,155.507647974717
-145.254716375958,158.472160574573,-179.744861009063,171.867610146705,159.242923058088,-176.866374833574
178.756467756802,-162.316932642642,-129.125316519954,162.809269639628,-169.506208901546,166.985574337439
151.233632951845,-175.419988664524,173.036093843885,158.002693029442,175.408850615995,-176.633214072019
-140.849511102138,166.860377431991,175.499123247384,170.937498213363,-163.415645111496,165.654684692076
135.834892384899,-162.333217861903,65.7819699223221,-161.079388099722,173.917732360846,164.060800439624
