Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,ConvertedData0,ConvertedData1,ConvertedData2,ResultantAcc,Timestamp,dt
-7.582855224609375,-6.0370941162109375,-0.966705322265625,-0.15721459613633826,-0.14090184535178096,0.02990714929774696,-7.425640628473037,-5.8961922708591565,-0.996612471563372,-0.068603515625,-0.449554443359375,-0.46649169921875,3.47900390625,46.55914306640625,-12.7197265625,0.1808138411532211,0.013199756071272647,-0.13330173743662127,0.21322334966172646,1457001673954224325,0.020172119
-7.8436737060546875,-6.0370941162109375,-0.66998291015625,-0.3344264620653208,-0.11272147628142548,0.2613036491256976,-7.509247243989367,-5.924372639929512,-0.9312865592819476,-0.1564178466796875,-0.3391571044921875,-0.4874114990234375,2.87933349609375,46.319580078125,-13.2598876953125,0.10419380930651631,-0.16508504976325086,-0.08576001004762805,0.43912046956501255,1457001673974335409,0.020111084
-7.9429779052734375,-6.0370941162109375,-0.5001068115234375,-0.3469845290272566,-0.09017718102514038,0.3449437982068081,-7.595993376246181,-5.946916935185797,-0.8450506097302456,-0.1956634521484375,-0.2676849365234375,-0.4455718994140625,1.739501953125,45.71990966796875,-13.49945068359375,-0.03369122602330055,-0.3372811767655076,-0.2791650065141459,0.49751021224015807,1457001673994477010,0.020141601
-7.859222412109375,-5.8959197998046875,-0.4199371337890625,-0.21058322869055512,0.04079770830488805,0.3400907807529465,-7.64863918341882,-5.9367175081095755,-0.760027914542009,-0.166351318359375,-0.2803497314453125,-0.4134979248046875,1.019287109375,45.89996337890625,-13.37890625,-0.11175318964621392,-0.37536817507366743,-0.3068002391401076,0.3625919866738048,1457001674034760214,0.020141602
-7.8759765625,-5.947357177734375,-0.299102783203125,-0.15583283667445436,-0.01906036512237108,0.30188417390063593,-7.720143725825546,-5.928296812612004,-0.6009869571037609,-0.0850982666015625,-0.3173065185546875,-0.34906005859375,0.35858154296875,45.7794189453125,-13.2598876953125,-0.2545338352514705,-0.20000702261507375,-0.16334827012337125,0.3402664029202334,1457001674054932333,0.020172119
-8.148757934570313,-6.1603240966796875,-0.2548370361328125,-0.342891366995814,-0.18562182725414722,0.27691993677675875,-7.8058665675744985,-5.97470226942554,-0.5317569729095712,-0.0403594970703125,-0.2794342041015625,-0.2931671142578125,-0.41961669921875,45.83892822265625,-12.359619140625,-0.18625805833499845,-0.23824230725333145,-0.15598003547412803,0.4782411564241105,1457001674075043417,0.020111084
-8.691925048828125,-6.942779541015625,-0.3972015380859375,-0.7088467850029012,-0.7744618172720683,0.10764434785890697,-7.983078263825224,-6.168317723743557,-0.5048458859448445,0.0330963134765625,-0.259124755859375,-0.2545318603515625,-0.71868896484375,46.01898193359375,-11.87896728515625,-0.029503093411345382,-0.39370802715107456,-0.26988550128323713,1.0553872164505658,1457001674095185018,0.020141601
-9.230316162109375,-7.6450653076171875,-0.2847442626953125,-0.8181419228706055,-0.9441614224291239,0.1626887693484505,-8.41217423923877,-6.700903885188064,-0.447433032043763,0.050506591796875,-0.178802490234375,-0.2604827880859375,-1.13983154296875,46.0784912109375,-11.4593505859375,0.8328918974586844,-1.1510040119676246,-0.4470280230941166,1.2598669109211147,1457001674135437704,0.020111084
-9.485153198242188,-7.0815582275390625,0.0430755615234375,-0.8583831672027351,-0.30452347388079914,0.39240687485376047,-8.626770031039452,-6.777034753658263,-0.34933131333032297,0.02056884765625,-0.0968017578125,-0.3232574462890625,-1.37939453125,46.37908935546875,-10.97869873046875,0.6098915835003851,-0.9953397187254966,-0.47391516359420804,0.9917355309324777,1457001674155640341,0.020202637
-9.924224853515625,-6.80877685546875,0.4546356201171875,-1.0379638579809392,-0.025393681448388605,0.6431735467580084,-8.886260995534686,-6.783383174020361,-0.18853792664082086,0.0046844482421875,0.1551666259765625,-0.2096405029296875,-1.25885009765625,46.61865234375,-10.919189453125,0.04767539695094586,-0.6580559007248343,-0.7404247618622017,1.2213459873358792,1457001674175781942,0.020141601
