1.8739968162,15.6772384841
18.5979325825,49.6964970982
9.3493895632,14.5605926077
8.0317445913,25.2670912753
16.2722032787,14.1192411815
11.4417961174,40.5814685138
5.3385548571,11.7813489666
7.7507317665,35.8801423593
10.1794143353,6.7490635813
15.4701290952,10.6110076439
46.7750798609,9.3095439576
6.7053541325,48.350635199
32.2363908561,37.5083334352
1.6538688044,47.7391525975
19.3612225106,43.6292341296
2.8607097662,14.8243859471
27.0067617449,5.5029422213
2.7382027755,33.6294595962
15.498162581,11.0575940288
36.5575760118,23.8738352322
45.0073749897,26.8822516945
9.1665354949,20.7009844282
27.3671110521,6.3391871059
38.4653427011,22.3366713478
23.4000294309,1.4985724868
